mao'ban'fa	冇办法
bu'dong'shou	不动手
bu'dong'ta	不动他
bu'dong'wo	不动我
bu'dong'zuo	不动作
bu'dou'le	不抖了
bu'dou'ni	不逗你
bu'dou'ni'le	不逗你了
bu'dou'ni	不都你
bu'dou'shi	不都是
bu'dou'yao	不都要
bu'dou'yi'yang'ma	不都一样嘛
bu'dou'yi'yang'ma	不都一样吗
bu'dou'yi'yang'me	不都一样么
bu'dou'you	不都有
bu'dou'zai	不都在
bu'dou'zhe'yang	不都这样
bu'du'li	不独立
bu'du'le	不读了
bu'du'pan	不读盘
bu'du'shu	不读书
bu'du'shu'le	不读书了
bu'du'che	不堵车
bu'du'le	不堵了
bu'du'bo	不赌博
bu'du'le	不赌了
bu'duan'zheng	不端正
bu'duan'le	不短了
bu'duan'dian	不断电
bu'duan'wang	不断网
bu'dui'huan	不兑换
bu'dui'ba	不对吧
bu'dui'ban	不对板
bu'dui'deng	不对等
bu'dui'di	不对滴
bu'dui'fu	不对付
bu'dui'jin'a	不对劲啊
bu'dui'kou	不对口
bu'dui'la	不对啦
bu'dui'le	不对了
bu'dui'lu	不对路
fou'dui'me	不对么
bu'dui'ne	不对呢
bu'dui'o	不对哦
bu'dui'qi	不对齐
bu'dui'shi	不对事
fou'dui'ta	不对她
bu'dui'wai	不对外
bu'dui'ya	不对呀
bu'dui'yan	不对眼
bu'dui'ying	不对应
bu'dui'zheng	不对症
bu'dui'zhe	不对着
bu'duo'da	不多大
bu'duo'gei	不多给
bu'duo'he	不多喝
bu'duo'hua	不多话
bu'duo'la	不多啦
bu'duo'ma	不多吗
bu'duo'me	不多么
bu'duo'ne	不多呢
bu'duo'pai	不多拍
bu'duo'shao	不多少
bu'duo'shao'qian	不多少钱
bu'duo'shui	不多睡
bu'duo'shuo	不多说
bu'duo'wan	不多玩
bu'duo'ya	不多呀
bu'duo'yao	不多要
bu'duo'kai	不躲开
bu'e'qi	不恶气
bu'e'me	不饿么
bu'e'ne	不饿呢
bu'er'qing	不二情
bu'er'xin	不二心
bu'er'zhi'xuan	不二之选
bu'fa'a	不发啊
bu'fa'biao	不发表
bu'fa'bu'fa	不发不发
bu'fa'bu	不发布
bu'fa'dai	不发呆
bu'fa'de	不发的
bu'fa'dian	不发电
bu'fa'fang	不发放
bu'fa'ge	不发个
bu'fa'gei'ni	不发给你
bu'fa'gei'wo	不发给我
bu'fa'gong'zi	不发工资
bu'fa'guang	不发光
bu'fa'guo'lai	不发过来
bu'fa'guo'qu	不发过去
bu'fa'hua	不发话
bu'fa'hui	不发挥
bu'fa'huo'de	不发火的
bu'fa'la	不发啦
bu'fa'lai	不发来
bu'fa'ma	不发吗
bu'fa'ne	不发呢
bu'fa'piao	不发票
bu'fa'qiang	不发枪
bu'fa'shao	不发烧
bu'fa'sheng	不发生
bu'fa'suan'le	不发算了
bu'fa'tie	不发帖
bu'fa'tu	不发图
bu'fa'wei	不发威
bu'fa'xie	不发泄
bu'fa'ya	不发芽
bu'fa'yan	不发言
bu'fa'yin	不发音
bu'fa'yu'yin	不发语音
bu'fa'yu	不发育
bu'fa'zhan	不发展
bu'fa'biao	不发飙
bu'fa'kuan	不罚款
bu'fa'ni	不罚你
bu'fa'qian	不罚钱
bu'fa'ba	不乏把
bu'fa'gei'ni	不乏给你
bu'fa'guo'qu	不乏过去
bu'fa'ma	不乏吗
bu'fa'suan	不乏算
bu'fa'wo	不乏我
bu'fan'bian	不翻遍
bu'fan'yi	不翻译
bu'fan'a	不烦啊
bu'fan'de	不烦的
bu'fan'le	不烦了
bu'fan'ma	不烦吗
bu'fan'nao	不烦恼
bu'fan'ni'le	不烦你了
bu'fan'ren	不烦人
bu'fan'wo	不烦我
bu'fan'xin	不烦心
bu'fan'zao	不烦躁
bu'fan'bo	不反驳
bu'fan'tan	不反弹
bu'fan'gan	不反感
fou'fan'hui	不反悔
fou'fan'ji	不反击
fou'fan'kang	不反抗
bu'fan'kui	不反馈
fou'fan'xing	不反省
fou'fan'ying	不反应
bu'fan'huan	不返还
bu'fan'hui	不返回
bu'fan'xian	不返现
bu'fan'bing	不犯病
bu'fan'jian	不犯贱
bu'fan'zui	不犯罪
bu'fang'bian'a	不方便啊
bu'fang'bian'jie'dian'hua	不方便接电话
bu'fang'bian'le	不方便了
bu'fang'bian'ma	不方便吗
bu'fang'bian'ne	不方便呢
bu'fang'bian'shuo'ma	不方便说吗
bu'fang'bian'ya	不方便呀
bu'fang'hua	不防滑
bu'fang'shou	不防守
bu'fang'shui	不防水
bu'fang'yu	不防御
bu'fang'ba	不妨把
bu'fang'ge	不妨个
bu'fang'ji'neng	不妨技能
bu'fang'ba	不放吧
bu'fang'da	不放大
bu'fang'de	不放的
bu'fang'ge	不放歌
bu'fang'huo	不放火
bu'fang'huo	不放货
bu'fang'ji'neng	不放技能
bu'fang'jia'ma	不放假吗
bu'fang'kai	不放开
bu'fang'le	不放了
bu'fang'ma	不放吗
bu'fang'pi	不放屁
bu'fang'qian	不放钱
bu'fang'ren	不放人
bu'fang'shou	不放手
bu'fang'shui	不放水
bu'fang'wo	不放我
bu'fang'xi	不放系
bu'fang'xia	不放下
bu'fang'xue	不放学
bu'fang'you	不放油
bu'fang'zai	不放在
bu'fei'le	不飞了
bu'fei'hua	不废话
bu'fei'dian	不费电
bu'fei'jin	不费劲
bu'fei'li	不费力
bu'fei'shi	不费事
bu'fei'xin	不费心
bu'fei'xie	不费血
bu'fen'a	不分啊
bu'fen'chang'he	不分场合
bu'fen'hong	不分红
bu'fen'jia	不分家
bu'fen'jie	不分解
bu'fen'ke	不分科
bu'fen'le	不分了
bu'fen'qian	不分钱
bu'fen'shou	不分手
bu'fen'xi	不分析
bu'fen'xiang	不分享
bu'fen'xin	不分心
bu'fen'dou	不奋斗
bu'feng'fu	不丰富
bu'feng'man	不丰满
bu'feng'hao	不封号
bu'feng'le	不封了
bu'feng'kuang	不疯狂
bu'feng'le	不疯了
bu'fou'ren	不否认
bu'fu'yan	不敷衍
bu'fu'de	不符的
bu'fu'he'xiang	不符合项
bu'fu'he'yao'qiu	不符合要求
bu'fu'a	不服啊
bu'fu'chu'yan	不服出演
bu'fu'de	不服的
bu'fu'jiu'gan	不服就干
bu'fu'lai	不服来
bu'fu'lai'bian	不服来辩
bu'fu'lai'zhan	不服来战
bu'fu'lao	不服老
bu'fu'le	不服了
bu'fu'ma	不服吗
bu'fu'me	不服么
bu'fu'ni	不服你
bu'fu'qi'a	不服气啊
bu'fu'tie	不服帖
bu'fu'wo	不服我
bu'fu'ya	不服呀
bu'fu'zhu'le	不服住了
bu'fu'zhu	不辅助
bu'fu'zhu'le	不辅助了
bu'fu'yu	不赋予
bu'fu'chu'yan	不复出焉
bu'fu'fa	不复发
bu'fu'fan	不复返
bu'fu'huo	不复活
bu'fu'za	不复杂
bu'fu'kuan	不付款
bu'fu'qian	不付钱
bu'fu'zhu'le	不付诸了
bu'fu'dan	不负担
bu'fu'ni	不负你
bu'fu'wo	不负我
bu'fu'you	不负有
bu'gai'a	不该啊
bu'gai'ai	不该爱
bu'gai'ba	不该把
bu'gai'chi	不该吃
bu'gai'chu	不该出
bu'gai'da	不该打
bu'gai'dong	不该动
bu'gai'guan	不该管
bu'gai'hua	不该花
bu'gai'kan	不该看
bu'gai'la	不该啦
bu'gai'lai	不该来
bu'gai'mai	不该买
bu'gai'ni	不该你
bu'gai'pao	不该跑
bu'gai'qu	不该去
bu'gai'shang	不该上
bu'gai'shi	不该是
bu'gai'shuo	不该说
bu'gai'shuo'de	不该说的
bu'gai'si	不该死
bu'gai'su'ni	不该素你
bu'gai'wan	不该玩
bu'gai'wen	不该问
bu'gai'wo	不该我
bu'gai'xiang	不该想
bu'gai'yao	不该要
fou'gai'zhui	不该追
bu'gai'ba	不改吧
bu'gai'bian	不改变
bu'gai'cheng	不改成
bu'gai'de	不改的
bu'gai'di'zhi	不改地址
bu'gai'gai	不改改
bu'gai'ge	不改革
fou'gai'jia	不改价
bu'gai'la	不改啦
bu'gai'le	不改了
bu'gai'ma	不改吗
bu'gai'mi'ma	不改密码
bu'gai'ming	不改名
bu'gai'bei'zi	不盖被子
bu'gai'zhang	不盖章
bu'gan'bu'gan	不干不干
bu'gan'cui	不干脆
bu'gan'de	不干的
bu'gan'dian	不干点
bu'gan'ha	不干哈
bu'gan'huo'a	不干活啊
bu'gan'huo'le	不干活了
bu'gan'la	不干啦
bu'gan'liao'a	不干了啊
bu'gan'le'ba	不干了吧
bu'gan'le'ma	不干了吗
bu'gan'ma	不干嘛
bu'gan'ma'a	不干嘛啊
bu'gan'ma'ya	不干嘛呀
bu'gan'ma	不干吗
bu'gan'ma'a	不干吗啊
bu'gan'ma'ya	不干吗呀
bu'gan'ne	不干呢
bu'gan'sha'a	不干啥啊
bu'gan'she	不干涉
bu'gan'shen	不干甚
bu'gan'shen'me	不干什么
bu'gan'suan'le	不干算了
bu'gan'ta	不干他
bu'gan'zao	不干燥
bu'gan'zheng'shi	不干正事
bu'gan'xin'a	不甘心啊
bu'gan'jin	不赶紧
bu'gan'kuai	不赶快
bu'gan'shi'jian	不赶时间
bu'gan'tang'le	不赶趟了
bu'gan'dao	不感到
bu'gan'dong'le	不感动了
bu'gan'ji	不感激
fou'gan'jue	不感觉
bu'gan'xie	不感谢
bu'gan'xing'qu'le	不感兴趣了
bu'gan'xing	不感性
bu'gan'ai	不敢爱
bu'gan'bao	不敢报
bu'gan'bi	不敢比
bu'gan'chang	不敢唱
bu'gan'cheng'ren	不敢承认
bu'gan'chu	不敢出
bu'gan'chu'men	不敢出门
bu'gan'chu'qu	不敢出去
bu'gan'chuan	不敢穿
bu'gan'dai	不敢带
bu'gan'dan	不敢担
bu'gan'dang'a	不敢当啊
bu'gan'de	不敢的
bu'gan'dian	不敢点
bu'gan'ding	不敢定
bu'gan'dong'le	不敢动了
bu'gan'du	不敢赌
bu'gan'fa	不敢发
bu'gan'fang	不敢放
bu'gan'gan	不敢干
bu'gan'gao	不敢搞
bu'gan'gei	不敢给
bu'gan'gen	不敢跟
bu'gan'guan	不敢管
bu'gan'ha	不敢哈
bu'gan'han	不敢喊
bu'gan'he	不敢喝
bu'gan'hua	不敢花
bu'gan'huan	不敢换
bu'gan'hui	不敢回
bu'gan'jia	不敢加
bu'gan'jian	不敢见
bu'gan'jian'ren	不敢见人
bu'gan'jie	不敢接
bu'gan'jin	不敢进
bu'gan'jiu'bu'gan	不敢就不干
bu'gan'jiu'bu'gan	不敢就不敢
bu'gan'kai	不敢开
bu'gan'kan'le	不敢看了
bu'gan'ke	不敢克
bu'gan'lai	不敢来
bu'gan'lai'le	不敢来了
bu'gan'liao	不敢聊
bu'gan'liao'a	不敢聊啊
bu'gan'le'ba	不敢了吧
bu'gan'le'ma	不敢了吗
bu'gan'ma	不敢吗
bu'gan'mai	不敢买
bu'gan'me	不敢么
bu'gan'mo	不敢摸
bu'gan'na	不敢拿
bu'gan'ne	不敢呢
bu'gan'ni	不敢你
bu'gan'pai	不敢拍
bu'gan'pao	不敢跑
bu'gan'qi	不敢骑
fou'gan'qiang	不敢强
bu'gan'qu'a	不敢去啊
bu'gan'qu'le	不敢去了
bu'gan'que'ding	不敢确定
bu'gan'rang	不敢让
bu'gan're	不敢惹
bu'gan'ren	不敢认
bu'gan'sa	不敢撒
bu'gan'sha	不敢杀
bu'gan'sha'a	不敢啥啊
bu'gan'shang	不敢上
bu'gan'shang'lai	不敢上来
bu'gan'sheng	不敢生
bu'gan'shi'jian	不敢时间
bu'gan'shou	不敢收
bu'gan'shua	不敢刷
bu'gan'shui	不敢睡
bu'gan'shui'jiao	不敢睡觉
bu'gan'shuo'a	不敢说啊
bu'gan'shuo'hua'le	不敢说话了
bu'gan'shuo'le	不敢说了
bu'gan'si	不敢死
bu'gan'suan'le	不敢算了
bu'gan'ta	不敢他
bu'gan'tang'le	不敢躺了
bu'gan'tiao	不敢跳
bu'gan'ting	不敢听
bu'gan'ting'qing'ge	不敢听情歌
bu'gan'ting	不敢停
bu'gan'tou	不敢偷
bu'gan'tou	不敢投
bu'gan'tuo	不敢脱
bu'gan'wan	不敢玩
bu'gan'wen	不敢问
bu'gan'xi	不敢洗
bu'gan'xia	不敢下
bu'gan'xia'shou	不敢下手
bu'gan'xiang'xiang	不敢想象
bu'gan'xiao	不敢小
bu'gan'xiao	不敢笑
bu'gan'xie	不敢写
bu'gan'xuan	不敢选
bu'gan'ya	不敢呀
bu'gan'yan	不敢言
bu'gan'yao	不敢要
bu'gan'yong	不敢用
bu'gan'you	不敢有
bu'gan'zao	不敢造
bu'gan'zhao	不敢找
bu'gan'zheng'shi	不敢正视
bu'gan'zhi'shi	不敢直视
bu'gan'zhu	不敢住
bu'gan'zhui	不敢追
bu'gan'zou	不敢走
bu'gan'zuo	不敢做
bu'gan'zuo'fei'ji	不敢做飞机
bu'gan'zuo	不敢坐
bu'gan'zuo'fei'ji	不敢坐飞机
bu'gao'bu'di	不高不低
bu'gao'dang	不高档
bu'gao'diao	不高调
bu'gao'duan	不高端
bu'gao'jia	不高价
bu'gao'ma	不高吗
bu'gao'me	不高么
bu'gao'qing	不高清
bu'gao'sui	不高岁
bu'gao'xi	不高系
bu'gao'xiang	不高想
bu'gao'xing'a	不高兴啊
bu'gao'xing'le	不高兴了
bu'gao'xing'ma	不高兴吗
bu'gao'yu	不高于
bu'gao'dian	不搞点
bu'gao'ding	不搞定
bu'gao'dui'xiang	不搞对象
bu'gao'ge	不搞个
bu'gao'ji	不搞基
bu'gao'si	不搞死
bu'gao'xiao	不搞笑
bu'gao'shu	不告述
bu'gao'shu'ni	不告述你
bu'gao'su'bie'ren	不告诉别人
bu'gao'su'la'dao	不告诉拉到
bu'gao'su'ni'le'ma	不告诉你了吗
bu'gao'su'ni'men	不告诉你们
bu'gao'wo	不告我
bu'ge'li	不隔离
bu'ge'yin	不隔音
bu'gei'a	不给啊
bu'gei'ban	不给办
bu'gei'bao	不给报
bu'gei'bie'ren	不给别人
bu'gei'chi	不给吃
bu'gei'chu	不给出
fou'gei'da	不给大
bu'gei'dai	不给带
bu'gei'de'hua	不给的话
bu'gei'dian	不给点
bu'gei'fa	不给发
fou'gei'gai	不给盖
bu'gei'ge	不给个
bu'gei'guo	不给过
bu'gei'hao	不给号
bu'gei'hua	不给花
bu'gei'huan	不给换
bu'gei'huo	不给货
bu'gei'ji	不给寄
bu'gei'jia	不给假
bu'gei'jiao	不给叫
bu'gei'jin	不给进
bu'gei'jiu'song	不给就送
bu'gei'jiu'suan	不给就算
fou'gei'ka	不给卡
bu'gei'kai	不给开
bu'gei'kan	不给看
bu'gei'la'dao	不给拉到
bu'gei'la	不给啦
bu'gei'lao'zi	不给老子
bu'gei'li'a	不给力啊
bu'gei'li'le	不给力了
bu'gei'li'ya	不给力呀
bu'gei'le	不给了
bu'gei'liu	不给留
bu'gei'ma	不给吗
fou'gei'me	不给么
bu'gei'mian	不给面
bu'gei'mian'zi	不给面子
bu'gei'mo	不给摸
bu'gei'ne	不给呢
bu'gei'ni'chi	不给你吃
bu'gei'ni'da	不给你打
bu'gei'ni'kan	不给你看
bu'gei'ni'la	不给你啦
bu'gei'ni'liao'le	不给你聊了
bu'gei'ni'le	不给你了
bu'gei'ni'ma	不给你吗
bu'gei'ni'mai	不给你买
bu'gei'ni'men	不给你们
bu'gei'ni'shua	不给你刷
bu'gei'ni'shuo	不给你说
bu'gei'ni'shuo'le	不给你说了
bu'gei'ni'wan'le	不给你玩了
bu'gei'ni'wan'liao	不给你完了
bu'gei'ni'zuo	不给你做
bu'gei'nin	不给您
bu'gei'o	不给哦
bu'gei'pai	不给牌
bu'gei'pi	不给批
bu'gei'qian	不给签
bu'gei'qian	不给钱
bu'gei'qu	不给取
bu'gei'ren	不给人
bu'gei'sha	不给杀
bu'gei'shang	不给上
bu'gei'shua	不给刷
fou'gei'shei	不给谁
bu'gei'shuo	不给说
bu'gei'song	不给送
bu'gei'suan'le	不给算了
bu'gei'ta	不给他
bu'gei'ta'kan	不给他看
bu'gei'ta'le	不给他了
bu'gei'ta'qian	不给他钱
bu'gei'ta'shuo	不给他说
bu'gei'ta'qian	不给她钱
bu'gei'tui	不给退
bu'gei'wan	不给玩
bu'gei'wo'chi	不给我吃
bu'gei'wo'da	不给我打
bu'gei'wo'ge	不给我哥
bu'gei'wo'le	不给我了
bu'gei'wo'mai	不给我买
bu'gei'wo'men	不给我们
bu'gei'wo'qian	不给我钱
bu'gei'xiu	不给修
bu'gei'ya	不给呀
bu'gei'yan	不给验
bu'gei'yu	不给予
bu'gei'zhang	不给涨
bu'gei'zhao	不给照
bu'gei'zhong	不给中
bu'gei'zuo	不给做
bu'gen'bie'ren	不跟别人
bu'gen'jin	不跟进
bu'gen'le	不跟了
bu'gen'ni'chao	不跟你吵
bu'gen'ni'che	不跟你扯
bu'gen'ni'da	不跟你打
bu'gen'ni'hao	不跟你好
bu'gen'ni'jiang	不跟你讲
bu'gen'ni'jiang'le	不跟你讲了
bu'gen'ni'liao	不跟你聊
bu'gen'ni'liao'le	不跟你聊了
bu'gen'ni'men	不跟你们
bu'gen'ni'men'wan	不跟你们玩
bu'gen'ni'nao	不跟你闹
bu'gen'ni'ni	不跟你你
bu'gen'ni'shuo	不跟你说
bu'gen'ni'shuo'la	不跟你说啦
bu'gen'ni'shuo'le	不跟你说了
bu'gen'ni'wan	不跟你玩
bu'gen'ni'wan'le	不跟你玩了
bu'gen'ni'wan'liao	不跟你完了
bu'gen'ni'zheng	不跟你争
bu'gen'sui	不跟随
bu'gen'ta	不跟他
bu'gen'ta'men	不跟他们
bu'gen'ta'shuo	不跟他说
bu'gen'ta'wan	不跟他玩
bu'gen'tuan	不跟团
bu'gen'wo	不跟我
bu'gen'wo'men	不跟我们
bu'gen'wo'shuo	不跟我说
bu'gen'wo'zou	不跟我走
bu'gen'zhe	不跟着
bu'geng'hao'ma	不更好吗
bu'gong'zuo	不工作
bu'gong'zuo'ma	不工作嘛
bu'gong'zuo'ma	不工作吗
bu'gong'ping'a	不公平啊
bu'gong'zheng	不公正
bu'gong'xiang	不共享
bu'gou'yin	不勾引
fou'gou'tong	不沟通
bu'gou'wu	不购物
bu'gou'a	不够啊
bu'gou'ba	不够吧
bu'gou'ben	不够本
bu'gou'chang	不够长
bu'gou'chi	不够吃
bu'gou'chuan	不够穿
bu'gou'da	不够大
bu'gou'duo	不够多
bu'gou'fen	不够分
bu'gou'gao	不够高
bu'gou'he	不够喝
bu'gou'ji	不够级
bu'gou'kan	不够看
bu'gou'kuai	不够快
bu'gou'la	不够啦
bu'gou'li	不够力
bu'gou'liang	不够亮
bu'gou'le	不够了
bu'gou'ma	不够吗
bu'gou'mai	不够卖
bu'gou'me	不够么
bu'gou'o	不够哦
fou'gou'qiang	不够强
bu'gou'rou	不够肉
bu'gou'shen	不够深
bu'gou'shi	不够时
bu'gou'shi'jian	不够时间
bu'gou'shu	不够数
bu'gou'shuai	不够帅
bu'gou'wan	不够玩
bu'gou'wo	不够我
bu'gou'xi	不够细
bu'gou'ya	不够呀
bu'gou'yi'si'a	不够意思啊
bu'gou'ying	不够硬
bu'gou'yong'a	不够用啊
bu'gou'zhu	不够住
bu'gou'zi'xin	不够自信
bu'gu'fu	不辜负
fou'gu'ji	不估计
bu'gu'ji	不顾及
bu'gu'ji	不顾忌
bu'gu'jia	不顾家
bu'gu'wo	不顾我
bu'gu'yo	不顾哟
bu'gu'ding	不固定
bu'gua'gou	不挂钩
bu'gua'ji	不挂机
bu'gua'ke	不挂科
bu'gua'le	不挂了
bu'gua'ni	不挂你
bu'guai'a	不乖啊
bu'guai'de	不乖的
bu'guai'guai	不乖乖
bu'guai'le	不乖了
bu'guai'de	不怪的
bu'guai'le	不怪了
bu'guai'ta	不怪他
bu'guai'ta	不怪她
bu'guai'wo	不怪我
bu'guai'wo'a	不怪我啊
bu'guan'bi	不关闭
bu'guan'deng	不关灯
bu'guan'ji	不关机
bu'guan'jian	不关键
bu'guan'men	不关门
bu'guan'ni'de'shi	不关你的事
bu'guan'ta'de'shi	不关他的事
bu'guan'wo	不关我
bu'guan'wo'de'shi	不关我的事
bu'guan'wo'men	不关我们
bu'guan'zhu	不关注
bu'guan'a	不管啊
bu'guan'chi	不管吃
bu'guan'de	不管的
bu'guan'fan	不管饭
bu'guan'guan	不管管
bu'guan'ji'dian	不管几点
bu'guan'jiu'bu'guan	不管就不管
bu'guan'la	不管啦
bu'guan'li	不管理
bu'guan'ma	不管吗
bu'guan'me	不管么
bu'guan'na	不管那
bu'guan'ne	不管呢
bu'guan'ni'a	不管你啊
bu'guan'ni'de	不管你的
bu'guan'ni'de'shi	不管你的事
bu'guan'ni'le	不管你了
bu'guan'ni'ma	不管你吗
bu'guan'ni'shi	不管你是
bu'guan'ni'shi'shui	不管你是谁
bu'guan'ni'xin'bu'xin	不管你信不信
bu'guan'qian	不管钱
bu'guan'qu'na	不管去哪
bu'guan'shi'bu'shi	不管是不是
bu'guan'shi'sha	不管是啥
bu'guan'shi'shen'me	不管是什么
bu'guan'shei	不管谁
bu'guan'ta'de'shi	不管他的事
bu'guan'ta'le	不管他了
bu'guan'ta'men	不管他们
bu'guan'ta'le	不管她了
bu'guan'ta'men	不管她们
bu'guan'wo	不管我
bu'guan'wo'de	不管我的
bu'guan'wo'de'shi	不管我的事
bu'guan'wo'le	不管我了
bu'guan'wo'men	不管我们
bu'guan'yong'a	不管用啊
bu'guan'yong'le	不管用了
bu'guan'you	不管有
bu'guan'zai	不管在
bu'guan'zai'na'li	不管在哪里
bu'guan'zen'me'shuo	不管怎么说
bu'guan'za	不管咋
bu'guan'za'di	不管咋地
bu'guan'za'yang	不管咋样
bu'guan'zhe	不管这
bu'guan'zhe'shi	不管这事
bu'guan'zhen'jia	不管真假
bu'guan'zhu	不管住
bu'guan'zi'ji	不管自己
bu'guan'zuo	不管做
bu'guan'zuo'shen'me	不管做什么
bu'guan'zhe	不惯着
bu'gui'ding	不规定
bu'gui'ge	不规格
bu'gui'lv	不规律
bu'gui'zheng	不规整
bu'gui'wo	不归我
bu'gui'a	不贵啊
bu'gui'le	不贵了
bu'gui'ma	不贵嘛
bu'gui'ya	不贵呀
bu'guo'duan	不果断
bu'guo'ba	不过吧
bu'guo'de	不过得
bu'guo'dou	不过都
bu'guo'fen'ba	不过分吧
bu'guo'hao'xiang	不过好像
bu'guo'he	不过河
bu'guo'hu	不过户
bu'guo'hai	不过还
bu'guo'kan'zhe	不过看着
bu'guo'la	不过啦
bu'guo'lai'ne	不过来呢
bu'guo'le	不过了
bu'guo'ma	不过嘛
bu'guo'me	不过么
bu'guo'min	不过敏
bu'guo'ming'tian	不过明天
bu'guo'na	不过那
bu'guo'na'shi	不过那时
bu'guo'na'shi	不过那是
bu'guo'ne	不过呢
bu'guo'ni'de	不过你得
bu'guo'ni'de	不过你的
bu'guo'ni'yao	不过你要
bu'guo'nian	不过年
bu'guo'pa	不过怕
bu'guo'qi	不过期
bu'guo'qiao	不过桥
bu'guo'qin	不过亲
bu'guo'qin	不过秦
bu'guo'sheng'ri	不过生日
bu'guo'shi'zai	不过是在
bu'guo'ta'men	不过他们
bu'guo'ta'shuo	不过他说
bu'guo'wen	不过问
bu'guo'wo'jue'de	不过我觉得
bu'guo'wo'ma	不过我妈
bu'guo'wo'you	不过我有
bu'guo'xian	不过线
bu'guo'ya	不过呀
bu'guo'ye'shi	不过也是
bu'guo'yi'hui	不过一会
bu'guo'yi'jing	不过已经
bu'guo'you'shi	不过有时
bu'guo'zai	不过在
bu'guo'zhe'ge	不过这个
bu'guo'zhe'shi	不过这是
bu'guo'zhe'yang	不过这样
bu'ha'ha	不哈哈
bu'ha'kan	不哈看
bu'ha'ou'yi'si	不哈偶意思
bu'ha'pi	不哈皮
bu'ha'yi'si	不哈意思
bu'hai'pa'a	不害怕啊
bu'hai'pa'ma	不害怕吗
bu'hai'xiu	不害羞
bu'hai'sao	不害臊
bu'han'can	不含餐
bu'han'shui'jia	不含税价
bu'han'tang	不含糖
bu'han'xu	不含蓄
bu'han'you	不含有
bu'han'yun'fei	不含运费
bu'han'zao	不含早
bu'han'zi'dao	不含自导
bu'han'ta	不喊他
bu'hao'ba	不好吧
bu'hao'ba'wo	不好把握
bu'hao'bai	不好摆
bu'hao'ban'a	不好办啊
bu'hao'bi	不好比
bu'hao'bu	不好补
bu'hao'bu	不好不
bu'hao'bu'hao	不好不好
bu'hao'bu'huai	不好不坏
bu'hao'cai	不好猜
bu'hao'cha	不好查
fou'hao'chai	不好拆
bu'hao'chang	不好唱
bu'hao'chi'a	不好吃啊
bu'hao'chi'ma	不好吃吗
bu'hao'chou	不好抽
bu'hao'chu	不好出
bu'hao'chu	不好处
bu'hao'da	不好搭
bu'hao'da'a	不好打啊
bu'hao'da'ba	不好打吧
bu'hao'da'li	不好打理
bu'hao'da'le	不好打了
bu'hao'da'ya	不好打呀
bu'hao'dai	不好带
bu'hao'dang	不好当
bu'hao'dao	不好到
bu'hao'de'ren	不好的人
bu'hao'de'shi'hou	不好的时候
bu'hao'de'shi	不好的事
bu'hao'deng	不好等
bu'hao'di	不好滴
bu'hao'diao	不好掉
bu'hao'diao	不好钓
bu'hao'ding	不好定
bu'hao'dong	不好懂
bu'hao'dong	不好动
bu'hao'dui	不好对
bu'hao'duo	不好多
bu'hao'e	不好额
bu'hao'fen	不好分
bu'hao'feng	不好封
bu'hao'ga	不好噶
bu'hao'gan	不好干
bu'hao'gan'a	不好干啊
bu'hao'gan'ya	不好干呀
bu'hao'gao	不好搞
bu'hao'gei	不好给
bu'hao'gua	不好挂
bu'hao'guan	不好管
bu'hao'guo'a	不好过啊
bu'hao'ha	不好哈
bu'hao'han	不好喊
bu'hao'hao'da	不好好打
bu'hao'hao'gan	不好好干
bu'hao'hao'xue'xi	不好好学习
bu'hao'he	不好喝
bu'hao'hua	不好画
bu'hao'huan	不好换
bu'hao'hui	不好回
bu'hao'hui	不好会
bu'hao'hun	不好混
bu'hao'hun'a	不好混啊
bu'hao'ji	不好记
bu'hao'jia	不好加
bu'hao'jian	不好减
bu'hao'jiang	不好讲
bu'hao'jiao'dai	不好交代
bu'hao'jiao	不好教
bu'hao'jiao	不好叫
bu'hao'jie'shi	不好解释
bu'hao'jie	不好借
bu'hao'jin	不好进
bu'hao'jiu'shi'bu'hao	不好就是不好
bu'hao'jue	不好绝
bu'hao'ka	不好卡
bu'hao'kai	不好开
bu'hao'kan'a	不好看啊
bu'hao'kan'de	不好看的
bu'hao'kan'lan	不好看蓝
bu'hao'kan'le	不好看了
bu'hao'kan'ma	不好看吗
bu'hao'kan'me	不好看么
bu'hao'kan'na	不好看那
bu'hao'kan'ne	不好看呢
bu'hao'kan'ya	不好看呀
bu'hao'kao	不好考
bu'hao'la	不好啦
bu'hao'lai	不好来
bu'hao'lian	不好练
bu'hao'liao	不好聊
bu'hao'mai'le	不好买了
bu'hao'mai	不好卖
bu'hao'mai'de	不好卖的
bu'hao'mai'le	不好卖了
bu'hao'me	不好么
bu'hao'miao	不好瞄
bu'hao'miao	不好秒
bu'hao'na	不好拿
bu'hao'nao	不好闹
bu'hao'ne	不好呢
bu'hao'ni	不好你
bu'hao'nong	不好弄
bu'hao'nong'a	不好弄啊
bu'hao'pai	不好拍
bu'hao'pao	不好跑
bu'hao'pei	不好配
bu'hao'peng	不好碰
bu'hao'pian	不好骗
bu'hao'ping	不好评
bu'hao'qi	不好奇
bu'hao'qian	不好钱
bu'hao'qian	不好前
bu'hao'qie	不好切
bu'hao'qing	不好请
bu'hao'qu	不好去
bu'hao'ren	不好认
bu'hao'sa	不好撒
bu'hao'se	不好色
bu'hao'sha	不好傻
bu'hao'sha'yi'si	不好啥意思
bu'hao'shang	不好上
bu'hao'sheng	不好生
bu'hao'sheng	不好升
